date	customerId	monthly_salary	health_score	current_debt	category
9/10/2022	CUS25834913836	6416	300	null	null
9/10/2022	CUS50942611360	7508	300	74171.36	SILVER
9/10/2022	CUS54692308136	6440	302	36763.84	SILVER
9/10/2022	CUS69525248260	12633	304	230516.16	SILVER
9/10/2022	CUS95712445936	7408	305	1500	SILVER
9/10/2022	CUS52143820360	7755	305	2876.88	SILVER
9/10/2022	CUS60425823660	10262	305	17761.48	SILVER
9/10/2022	CUS64144278224	4211	305	24218.82	null
9/10/2022	CUS79593547236	5678	306	55004.86	SILVER
9/10/2022	CUS60014216960	5699	306	null	null
9/10/2022	CUS32481559924	3090	306	2791.2	SILVER
9/10/2022	CUS77590444460	21810	307	null	SILVER
9/10/2022	CUS30083716212	11438	308	8463.22	null
9/10/2022	CUS44792763248	12520	309	127478.48	SILVER
9/10/2022	CUS92690535648	8359	309	162841.64	SILVER
9/10/2022	CUS79208039636	10759	310	216061.02	null
9/10/2022	CUS45923741524	5531	310	null	SILVER
9/10/2022	CUS23700290548	8258	310	94870.83	SILVER
9/10/2022	CUS67714055460	11604	310	206638.2	SILVER
9/10/2022	CUS60130130448	4559	310	null	SILVER
9/10/2022	CUS66457498436	17020	310	65154.96	SILVER
9/10/2022	CUS77091869748	16499	311	8328.27	SILVER
9/10/2022	CUS73631951948	6268	312	46045.74	GOLD
9/10/2022	CUS19729519460	5680	312	1960.89	SILVER
9/10/2022	CUS61541994124	7758	312	107789.36	null
9/10/2022	CUS79219210936	9954	312	20863.06	null
9/10/2022	CUS48814235248	6080	313	null	BRONZE
9/10/2022	CUS65231912660	8101	313	56636.96	SILVER
9/10/2022	CUS63819971424	2915	314	null	SILVER
9/10/2022	CUS26936473848	4334	314	null	null
9/10/2022	CUS74927826536	11686	314	5114.7	SILVER
9/10/2022	CUS34424004348	8604	315	488695.08	null
9/10/2022	CUS46465675224	6770	315	148904.18	null
9/10/2022	CUS81748366436	13263	315	234637.14	null
9/10/2022	CUS82714489836	6617	315	135575.65	SILVER
9/10/2022	CUS85362221912	6960	315	26719.75	null
9/10/2022	CUS81984786912	7931	315	38724.07	null
9/10/2022	CUS34225552648	7375	316	968.14	null
9/10/2022	CUS94751495360	7431	317	249547.24	SILVER
9/10/2022	CUS81253003836	4665	317	3072.24	BRONZE
9/10/2022	CUS18283823836	4665	317	3072.24	BRONZE
9/10/2022	CUS85208247348	7033	317	188355.92	SILVER
9/10/2022	CUS27389614948	5018	318	74861.37	SILVER
9/10/2022	CUS56786497836	7054	319	26180.56	null
9/10/2022	CUS14670641224	7845	320	75847.14	null
9/10/2022	CUS61640435936	6093	320	47581.51	null
9/10/2022	CUS83996534948	5731	320	2797.4	null
9/10/2022	CUS12842690736	9212	320	38581.78	null
9/10/2022	CUS35975347124	5837	321	120692.97	SILVER
9/10/2022	CUS25759696224	6717	322	25400	null
9/10/2022	CUS94159437524	5746	323	47968.12	null
9/10/2022	CUS12470881848	5210	323	22739.48	SILVER
9/10/2022	CUS45990231536	8204	323	96082.74	null
9/10/2022	CUS84634841924	3813	323	12000.6	BRONZE
9/10/2022	CUS70449387060	10214	324	157131.36	null
9/10/2022	CUS36312590112	10241	324	null	SILVER
9/10/2022	CUS55138021524	6109	324	126716.52	BRONZE
9/10/2022	CUS57601997036	6109	324	126716.52	BRONZE
9/10/2022	CUS65715308648	10993	324	305815.65	BRONZE
9/10/2022	CUS21764844736	10857	324	77393.98	null
9/10/2022	CUS28307980236	10465	325	7833.63	null
9/10/2022	CUS92478231548	3562	325	5649.42	null
9/10/2022	CUS30741220048	3224	325	24386.82	SILVER
9/10/2022	CUS27307824548	6196	326	145062.1	SILVER
9/10/2022	CUS85540122324	6021	326	24000	BRONZE
9/10/2022	CUS71673759136	5386	326	null	SILVER
9/10/2022	CUS51492534748	4684	327	null	SILVER
9/10/2022	CUS89391537436	6090	327	78000	SILVER
9/10/2022	CUS34414342248	15256	329	47674.89	BRONZE
9/10/2022	CUS85306867636	7980	330	273846.12	BRONZE
9/10/2022	CUS41620091136	8620	330	60561.75	null
9/10/2022	CUS76431995424	6682	330	58643.55	null
9/10/2022	CUS49043256712	6682	330	58643.55	null
9/10/2022	CUS72455911636	11839	331	91281.97	GOLD
9/10/2022	CUS76323650536	3724	331	null	SILVER
9/10/2022	CUS88981383060	6625	331	246071.95	SILVER
9/10/2022	CUS39932475860	6964	331	207365.61	SILVER
9/10/2022	CUS71061600236	4015	331	668.7	BRONZE
9/10/2022	CUS82902204048	3024	331	7363.75	null
9/10/2022	CUS23794627236	15195	331	14808.4	null
9/10/2022	CUS26387189924	8040	331	240000	SILVER
9/10/2022	CUS21448600660	6440	332	90034.44	SILVER
9/10/2022	CUS28359059636	10458	332	167743.5	null
9/10/2022	CUS24876535024	13863	332	367511.8	SILVER
9/10/2022	CUS99969648836	8283	332	56718.88	BRONZE
9/10/2022	CUS24088924924	13138	332	165943.08	GOLD
9/10/2022	CUS47235345848	7563	332	28827.75	SILVER
9/10/2022	CUS91785706260	6821	333	42189.09	SILVER
9/10/2022	CUS43761020324	5752	333	null	SILVER
9/10/2022	CUS34209759536	17239	333	49725.63	GOLD
9/10/2022	CUS25686497124	14349	334	95625.74	BRONZE
9/10/2022	CUS82975290836	6526	334	37042.22	BRONZE
9/10/2022	CUS73405113548	8273	334	749.2	null
9/10/2022	CUS35971660324	7641	334	467464.48	SILVER
9/10/2022	CUS39918967036	7297	334	52871.8	BRONZE
9/10/2022	CUS92282838424	4289	334	194608.8	BRONZE
9/10/2022	CUS60872957536	5272	334	46230.84	BRONZE
9/10/2022	CUS68788176736	3420	334	11354.49	SILVER
9/10/2022	CUS54257324424	4725	335	19665.31	SILVER
9/10/2022	CUS84628605936	6634	335	68175.96	null
9/10/2022	CUS96773979748	11832	335	183981.46	null
9/10/2022	CUS29266396048	6509	336	53620.03	null
9/10/2022	CUS29438435436	9822	336	161452.35	SILVER
9/10/2022	CUS27921573560	8868	336	127823.16	BRONZE
9/10/2022	CUS72587739024	5330	336	null	null
9/10/2022	CUS32300148636	11416	336	38782.52	null
9/10/2022	CUS78724169460	4799	336	83995.04	SILVER
9/10/2022	CUS30839777436	12775	336	326580.84	BRONZE
9/10/2022	CUS12067588648	6573	337	24733.19	SILVER
9/10/2022	CUS30883961648	9714	337	32051.19	null
9/10/2022	CUS94394525660	8415	337	49086.66	SILVER
9/10/2022	CUS22175171548	10470	337	337333.7	SILVER
9/10/2022	CUS32883201036	5008	337	46120.06	SILVER
9/10/2022	CUS65737102048	1210	337	3866.13	BRONZE
9/10/2022	CUS85173945648	7809	338	45441	null
9/10/2022	CUS87855694648	10897	338	263627.96	null
9/10/2022	CUS61377092636	8231	338	6494.14	BRONZE
9/10/2022	CUS23725240860	7184	339	131956.8	SILVER
9/10/2022	CUS63810025324	6922	339	215	GOLD
9/10/2022	CUS75089185736	6059	339	461440.9	null
9/10/2022	CUS18696329624	12385	339	410866.95	null
9/10/2022	CUS48013512748	6017	339	255000	BRONZE
9/10/2022	CUS85948513060	7165	340	10653.09	SILVER
9/10/2022	CUS51156918536	3596	340	null	SILVER
9/10/2022	CUS52484809248	5855	340	171909.4	SILVER
9/10/2022	CUS65605310948	9752	340	277712.61	BRONZE
9/10/2022	CUS21034227848	9752	340	277712.61	BRONZE
9/10/2022	CUS97293672348	5629	341	3552.61	SILVER
9/10/2022	CUS68177114336	2586	341	31741.54	SILVER
9/10/2022	CUS57456090748	3152	341	149708.4	SILVER
9/10/2022	CUS85077960148	3152	341	149708.4	SILVER
9/10/2022	CUS99301938124	16119	341	208995.15	SILVER
9/10/2022	CUS21873622560	6155	341	346031.4	BRONZE
9/10/2022	CUS77960564960	3857	341	62461.54	SILVER
9/10/2022	CUS59787184336	14933	342	103268.04	null
9/10/2022	CUS57345071360	5200	342	19800	BRONZE
9/10/2022	CUS64969783548	5108	342	42059.01	GOLD
9/10/2022	CUS39556791048	5108	342	42059.01	GOLD
9/10/2022	CUS95519496524	6973	343	null	SILVER
9/10/2022	CUS75571829548	9030	344	252325.74	null
9/10/2022	CUS21057081712	5942	344	718982.2	null
9/10/2022	CUS30977259524	25390	344	425609.85	SILVER
9/10/2022	CUS72564466848	8514	344	273449.05	BRONZE
9/10/2022	CUS16118875136	14176	344	1538453.1	null
9/10/2022	CUS20938224860	4171	344	95252.96	SILVER
9/10/2022	CUS50692985124	3282	344	4336.29	SILVER
9/10/2022	CUS31499600748	8613	344	198144.93	SILVER
9/10/2022	CUS89896323760	12970	345	19553.9	null
9/10/2022	CUS94427715760	7873	345	585208.68	BRONZE
9/10/2022	CUS12548503024	14500	345	20896.19	SILVER
9/10/2022	CUS25940235860	8963	345	190092.6	SILVER
9/10/2022	CUS89007603260	15192	346	223939.91	SILVER
9/10/2022	CUS88222138060	10138	346	161556.4	SILVER
9/10/2022	CUS90165973448	2959	346	16092.38	null
9/10/2022	CUS49132212924	3508	346	3888.33	null
9/10/2022	CUS51013379448	2680	346	3167.46	SILVER
9/10/2022	CUS31460843636	6154	346	126613.08	BRONZE
9/10/2022	CUS22066462036	5304	346	14374.74	SILVER
9/10/2022	CUS50836890224	29206	347	493038.8	null
9/10/2022	CUS49548286724	2755	347	3141.42	SILVER
9/10/2022	CUS54723065924	2755	347	3141.42	SILVER
9/10/2022	CUS74927279248	11846	347	38488.68	GOLD
9/10/2022	CUS23119707612	5353	347	31261.86	SILVER
9/10/2022	CUS79435788348	3233	347	3790.77	SILVER
9/10/2022	CUS53058519136	9234	347	13804.62	SILVER
9/10/2022	CUS21896408948	4275	347	956.16	null
9/10/2022	CUS33313505612	6682	348	46745.32	SILVER
9/10/2022	CUS92399976736	5870	348	53121.08	SILVER
9/10/2022	CUS87277144424	10096	348	50750.62	null
9/10/2022	CUS49456106048	7214	348	384803.76	BRONZE
9/10/2022	CUS48468492260	10372	348	295148.74	SILVER
9/10/2022	CUS33330017136	6787	349	310337.19	null
9/10/2022	CUS45739805160	6240	349	207148.02	null
9/10/2022	CUS74755924260	6240	349	207148.02	null
9/10/2022	CUS61127734360	5364	349	9210.69	null
9/10/2022	CUS99517431760	5886	350	50399.05	BRONZE
9/10/2022	CUS63174906660	15650	350	56754.28	null
9/10/2022	CUS12978379648	9245	350	506572.5	SILVER
9/10/2022	CUS48386797236	3064	350	3405.3	SILVER
9/10/2022	CUS22282351960	6489	351	130593.44	null
9/10/2022	CUS85850831324	6505	351	147188.44	null
9/10/2022	CUS72146127924	9466	351	481759.4	null
9/10/2022	CUS53610783760	11194	351	123836.94	SILVER
9/10/2022	CUS98576411048	6601	351	null	SILVER
9/10/2022	CUS46697530548	5668	351	284930.82	SILVER
9/10/2022	CUS17067234048	5668	351	284930.82	SILVER
9/10/2022	CUS48078076848	3940	351	13362.1	null
9/10/2022	CUS98415147860	2149	351	7931.7	null
9/10/2022	CUS77308022036	5887	351	25.98	SILVER
9/10/2022	CUS30868741636	12923	352	79818.45	null
9/10/2022	CUS86119368036	1641	352	3497.22	null
9/10/2022	CUS82694383336	27744	352	173044.98	SILVER
9/10/2022	CUS72077941560	9005	352	218553.98	SILVER
9/10/2022	CUS53810870936	10287	352	97246.12	null
9/10/2022	CUS53529945924	11519	352	4109.83	null
9/10/2022	CUS35924784912	4175	352	3247.32	SILVER
9/10/2022	CUS97802516060	5420	353	61563.2	SILVER
9/10/2022	CUS69008021824	6208	354	24176.78	SILVER
9/10/2022	CUS58285596812	7678	354	126153.6	null
9/10/2022	CUS27048651236	3393	354	1462.6	null
9/10/2022	CUS70689867536	6985	355	102554.38	null
9/10/2022	CUS95345435560	10494	355	71199.83	SILVER
9/10/2022	CUS49369052424	7495	355	132255.98	null
9/10/2022	CUS68212744336	5883	355	5150.71	BRONZE
9/10/2022	CUS60644423112	7285	355	14021.4	BRONZE
9/10/2022	CUS99299091248	4602	355	30403.2	SILVER
9/10/2022	CUS99621662060	9628	356	238522.11	BRONZE
9/10/2022	CUS92890396936	24052	356	null	SILVER
9/10/2022	CUS94535416748	6046	356	34617.72	null
9/10/2022	CUS15294352936	5600	356	134745.15	null
9/10/2022	CUS64695660336	5046	356	7734.52	null
9/10/2022	CUS38697567748	6123	356	24847.86	SILVER
9/10/2022	CUS56765071924	11604	357	481160.2	null
9/10/2022	CUS79465537736	10985	357	null	BRONZE
9/10/2022	CUS40876838260	2960	357	null	SILVER
9/10/2022	CUS65637651560	6830	357	386619.85	BRONZE
9/10/2022	CUS39211178960	12590	358	229497.62	BRONZE
9/10/2022	CUS39345815736	4526	358	25551.14	SILVER
9/10/2022	CUS32753961524	3341	358	12536.22	BRONZE
9/10/2022	CUS69328383924	30863	358	63828.48	SILVER
9/10/2022	CUS34546663448	17241	358	409854.81	BRONZE
9/10/2022	CUS90325942124	2016	358	337.4	SILVER
9/10/2022	CUS27235878524	7693	359	177125.02	GOLD
9/10/2022	CUS86926937048	4200	359	null	null
9/10/2022	CUS54845323460	6167	359	20815.98	SILVER
9/10/2022	CUS39968624312	5310	360	null	null
9/10/2022	CUS74578612260	6776	360	24437.1	BRONZE
9/10/2022	CUS56814676724	2230	360	26225.35	SILVER
9/10/2022	CUS90626144836	7774	360	240951.32	SILVER
9/10/2022	CUS63444523724	27130	360	69836.72	SILVER
9/10/2022	CUS37065643460	6239	360	196472.82	SILVER
9/10/2022	CUS48495678924	9699	360	null	null
9/10/2022	CUS18148665548	3325	360	60093.74	BRONZE
9/10/2022	CUS76637405848	14967	361	216417.64	null
9/10/2022	CUS20131216224	5954	361	25201.47	null
9/10/2022	CUS52986721348	4714	361	98584.68	SILVER
9/10/2022	CUS33216899160	9471	361	100344.07	null
9/10/2022	CUS60868574524	8036	361	87817.89	SILVER
9/10/2022	CUS96028752636	5906	361	33358.85	SILVER
9/10/2022	CUS51202586748	10910	361	226963.28	SILVER
9/10/2022	CUS46935125548	10910	361	226963.28	SILVER
9/10/2022	CUS96539564160	5749	361	22346.62	null
9/10/2022	CUS49635579136	6944	361	null	null
9/10/2022	CUS27153906948	5594	362	20501.52	SILVER
9/10/2022	CUS89130741936	6767	362	31393.48	SILVER
9/10/2022	CUS61947900924	10782	362	84067.6	SILVER
9/10/2022	CUS94536643748	2559	362	139788.72	SILVER
9/10/2022	CUS73942964960	7730	363	687542.24	SILVER
9/10/2022	CUS85146795636	6224	363	46082.28	SILVER
9/10/2022	CUS37494911748	4193	363	14045.26	null
9/10/2022	CUS99344921612	5247	363	3706.48	BRONZE
9/10/2022	CUS31460375024	9944	364	1034.76	SILVER
9/10/2022	CUS35362001660	10783	364	221493.6	SILVER
9/10/2022	CUS64553497824	5009	364	82705.08	BRONZE
9/10/2022	CUS42390444136	4166	364	17217.45	null
9/10/2022	CUS59606526124	17261	364	240959.15	SILVER
9/10/2022	CUS86209202148	3345	364	25686.12	SILVER
9/10/2022	CUS52916904348	5137	364	null	SILVER
9/10/2022	CUS99434666060	10415	365	69854.18	BRONZE
9/10/2022	CUS17818973360	10415	365	69854.18	SILVER
9/10/2022	CUS85008321324	6596	365	110621.04	BRONZE
9/10/2022	CUS42897301360	8056	365	132647.5	null
9/10/2022	CUS35921389236	5103	365	null	BRONZE
9/10/2022	CUS45290081136	8062	365	25253.52	BRONZE
9/10/2022	CUS29682751960	5197	366	32481.73	SILVER
9/10/2022	CUS46765165424	6170	366	47068.8	null
9/10/2022	CUS77068356036	2774	366	7431.42	null
9/10/2022	CUS65958312424	5207	366	62409.04	SILVER
9/10/2022	CUS75335920812	4260	366	183.98	BRONZE
9/10/2022	CUS31492255012	3830	367	40905.87	SILVER
9/10/2022	CUS98312680224	12266	367	55864.28	SILVER
9/10/2022	CUS68835356160	11419	367	169652.44	SILVER
9/10/2022	CUS97899912924	12983	367	275018.44	null
9/10/2022	CUS30659778136	17257	367	75381.29	null
9/10/2022	CUS56126164336	6403	367	41756.8	null
9/10/2022	CUS15248450836	8033	367	518248.32	SILVER
9/10/2022	CUS61623101024	3441	367	59833.64	SILVER
9/10/2022	CUS48592764448	7572	367	32779.86	BRONZE
9/10/2022	CUS75612099748	3439	367	83887.79	null
9/10/2022	CUS53730137160	7572	367	32779.86	BRONZE
9/10/2022	CUS77135343660	6614	367	301315.85	SILVER
9/10/2022	CUS14966947460	7708	368	178314.72	null
9/10/2022	CUS52649596036	4053	368	null	BRONZE
9/10/2022	CUS90953516348	7431	368	246979.75	SILVER
9/10/2022	CUS30553981924	4328	368	1670	SILVER
9/10/2022	CUS93196566124	3306	368	379308.36	BRONZE
9/10/2022	CUS63292074224	3306	368	379308.36	BRONZE
9/10/2022	CUS33612683324	7250	368	250110.06	null
9/10/2022	CUS65392006560	3993	368	49882.77	SILVER
9/10/2022	CUS41341476948	2144	368	82633.29	SILVER
9/10/2022	CUS72423283260	9171	368	35695.14	SILVER
9/10/2022	CUS14465334260	9800	369	132439.8	SILVER
9/10/2022	CUS76327446360	11313	369	233445.04	null
9/10/2022	CUS19130444260	4986	369	15306.12	null
9/10/2022	CUS73477555360	9509	370	576184.91	null
9/10/2022	CUS34722044024	10357	370	8266.38	SILVER
9/10/2022	CUS89957535924	20088	370	null	BRONZE
9/10/2022	CUS11431279548	23875	370	382992.1	null
9/10/2022	CUS75918822848	7244	370	46944.56	SILVER
9/10/2022	CUS63180964060	7244	370	46944.56	SILVER
9/10/2022	CUS20994168860	4695	370	null	BRONZE
9/10/2022	CUS34141445160	7085	371	31916.6	SILVER
9/10/2022	CUS12369617736	5398	371	700.3	null
9/10/2022	CUS34256076612	15525	371	358738.07	null
9/10/2022	CUS97561878136	6240	371	205957.29	null
9/10/2022	CUS40467583424	6240	371	205957.29	null
9/10/2022	CUS48310450548	2136	371	null	BRONZE
9/10/2022	CUS45558120248	16000	371	129048.75	SILVER
9/10/2022	CUS98689632036	11520	371	372724	SILVER
9/10/2022	CUS94767099160	4894	371	null	BRONZE
9/10/2022	CUS88792819460	5664	372	10957.44	BRONZE
9/10/2022	CUS97738217760	6918	372	91374.32	SILVER
9/10/2022	CUS84720682424	7522	372	53371.62	SILVER
9/10/2022	CUS46713850224	4326	372	17757.46	SILVER
9/10/2022	CUS23558451460	9943	372	237824.64	SILVER
9/10/2022	CUS44662061560	6003	372	91432.78	null
9/10/2022	CUS63680431060	4126	372	154616.73	SILVER
9/10/2022	CUS35101224624	8194	373	176922.42	null
9/10/2022	CUS21449223460	11967	373	129652.88	SILVER
9/10/2022	CUS29310717424	2609	373	28984.28	BRONZE
9/10/2022	CUS33931866024	6932	373	54198.22	null
9/10/2022	CUS14531800260	9664	373	13312.48	SILVER
9/10/2022	CUS28002477960	9663	373	396854.92	SILVER
9/10/2022	CUS70438231336	5079	373	null	null
9/10/2022	CUS95682101760	6018	373	815.99	null
9/10/2022	CUS90919125460	33369	374	132266.2	GOLD
9/10/2022	CUS91217604024	10257	374	3588.38	SILVER
9/10/2022	CUS93933009660	12899	374	472319.96	null
9/10/2022	CUS72771905436	6792	374	299605.4	SILVER
9/10/2022	CUS93560876948	7570	374	22592.68	null
9/10/2022	CUS22705873836	13210	374	103686.42	null
9/10/2022	CUS70432372736	4822	374	25255.28	BRONZE
9/10/2022	CUS85708051624	6720	374	131525.44	null
9/10/2022	CUS74103484536	22040	374	590086.44	null
9/10/2022	CUS51869466836	11730	374	83498.64	SILVER
9/10/2022	CUS67802012436	7362	374	98326.32	BRONZE
9/10/2022	CUS90084985236	8948	374	208382.75	BRONZE
9/10/2022	CUS37420698348	8017	374	122391.96	SILVER
9/10/2022	CUS92541612936	7077	375	31026.62	SILVER
9/10/2022	CUS71905114060	7317	375	87385.87	SILVER
9/10/2022	CUS44835164848	6242	375	94422.45	SILVER
9/10/2022	CUS53243321424	6162	375	94034.82	SILVER
9/10/2022	CUS80006506736	13519	375	341907.85	null
9/10/2022	CUS86633268348	15580	375	98418.34	SILVER
9/10/2022	CUS84151638348	10057	375	31466.96	null
9/10/2022	CUS57070045360	6412	376	47812.27	SILVER
9/10/2022	CUS16767847360	9055	376	105045.92	SILVER
9/10/2022	CUS97735832960	5230	376	null	null
9/10/2022	CUS96214569036	6250	376	7395.8	SILVER
9/10/2022	CUS62531667248	7594	376	101125.92	SILVER
9/10/2022	CUS66180286524	8584	376	73102.2	null
9/10/2022	CUS82965754912	5093	376	23753.82	BRONZE
9/10/2022	CUS14101059860	4232	377	6642.66	null
9/10/2022	CUS56498683660	5213	378	17581.48	SILVER
9/10/2022	CUS28979033124	6570	378	82808.88	null
9/10/2022	CUS98134607960	6933	378	133537.62	SILVER
9/10/2022	CUS65570365036	7227	378	77334.76	GOLD
9/10/2022	CUS73961363636	5951	378	39528.78	BRONZE
9/10/2022	CUS19003251260	16279	378	189593.28	BRONZE
9/10/2022	CUS56879241360	6933	378	133537.62	SILVER
9/10/2022	CUS20771295048	5860	378	108577.92	SILVER
9/10/2022	CUS13055819760	10248	379	652913.95	SILVER
9/10/2022	CUS65148118436	3440	379	42778.32	SILVER
9/10/2022	CUS67299778836	9821	379	null	SILVER
9/10/2022	CUS97227327748	5050	379	54556.28	SILVER
9/10/2022	CUS57440883136	7127	379	31338	BRONZE
9/10/2022	CUS43646770648	11343	379	77243	SILVER
9/10/2022	CUS64622281412	6032	379	120000	null
9/10/2022	CUS45304596312	4440	380	null	SILVER
9/10/2022	CUS37273398724	10568	380	202922.96	SILVER
9/10/2022	CUS76898326636	5331	380	33681.8	null
9/10/2022	CUS16515660048	7079	380	220115	BRONZE
9/10/2022	CUS34510872336	15950	380	358116.64	BRONZE
9/10/2022	CUS32845262724	36956	381	542020.55	null
9/10/2022	CUS85515140836	10525	381	217773	BRONZE
9/10/2022	CUS44500446160	13159	381	742062.36	SILVER
9/10/2022	CUS81726005348	7750	381	null	SILVER
9/10/2022	CUS93047315748	10321	381	199479.1	BRONZE
9/10/2022	CUS85541029524	6416	381	3295.44	SILVER
9/10/2022	CUS92170168948	17772	381	234174.07	SILVER
9/10/2022	CUS19226850160	17772	381	234174.07	SILVER
9/10/2022	CUS31910847124	5424	381	100000	BRONZE
9/10/2022	CUS52854549160	12466	381	569750.96	SILVER
9/10/2022	CUS74180711060	5217	381	38526.32	BRONZE
9/10/2022	CUS16451102760	9012	381	121625.9	null
9/10/2022	CUS16963374824	6740	381	137400.38	SILVER
9/10/2022	CUS68572031460	11119	382	91644.22	BRONZE
9/10/2022	CUS18875517012	4183	382	8189.32	null
9/10/2022	CUS15812003836	6218	382	21726.98	BRONZE
9/10/2022	CUS24707563660	12553	382	438713.1	SILVER
9/10/2022	CUS26065371360	5049	382	73920.27	null
9/10/2022	CUS55182419448	11069	382	550611.88	BRONZE
9/10/2022	CUS55321416036	5609	382	25872.56	SILVER
9/10/2022	CUS67636448848	8524	382	128327.67	SILVER
9/10/2022	CUS56784355560	13980	383	30828.21	null
9/10/2022	CUS51977101936	6303	383	150493.36	SILVER
9/10/2022	CUS80381696424	5394	383	18892.56	BRONZE
9/10/2022	CUS46830553160	10269	383	97570.87	null
9/10/2022	CUS18769110648	10188	383	null	SILVER
9/10/2022	CUS67510997836	8550	383	75939.84	SILVER
9/10/2022	CUS77858130548	9236	383	175867.4	null
9/10/2022	CUS85767836712	9409	384	140664.56	null
9/10/2022	CUS49963614260	9104	384	181418	BRONZE
9/10/2022	CUS72404529024	5234	384	27466.96	BRONZE
9/10/2022	CUS75236638260	7400	384	null	BRONZE
9/10/2022	CUS92363782160	6749	384	93350.67	SILVER
9/10/2022	CUS21494773760	1967	385	24180.76	SILVER
9/10/2022	CUS71048903624	5215	385	32856.18	SILVER
9/10/2022	CUS64277263536	6851	385	421338.75	SILVER
9/10/2022	CUS99262845248	8983	385	null	BRONZE
9/10/2022	CUS98553479148	5620	385	17984.93	GOLD
9/10/2022	CUS47920680436	7498	385	79558.25	SILVER
9/10/2022	CUS54864474160	7959	385	158043.14	SILVER
9/10/2022	CUS99815456624	6943	385	102981.9	null
9/10/2022	CUS48261269860	14614	385	17231.22	BRONZE
9/10/2022	CUS20003246424	3105	385	158480	BRONZE
9/10/2022	CUS42155244748	5111	385	3555.31	SILVER
9/10/2022	CUS34428433260	5790	385	null	BRONZE
9/10/2022	CUS64729236760	6131	386	84683.1	BRONZE
9/10/2022	CUS36778622136	14000	386	801697.08	SILVER
9/10/2022	CUS83314805336	4768	386	4618.14	SILVER
9/10/2022	CUS73029834148	10618	386	82702.66	SILVER
9/10/2022	CUS85781508824	8774	386	243150.15	SILVER
9/10/2022	CUS55549263636	9194	386	100877.76	null
9/10/2022	CUS34388638348	5727	386	38707.8	SILVER
9/10/2022	CUS94227244212	7631	387	104039.64	null
9/10/2022	CUS34106734860	30735	387	27738.71	null
9/10/2022	CUS55405376424	20590	387	200796.05	null
9/10/2022	CUS33695546636	5838	387	51270.03	BRONZE
9/10/2022	CUS42173721224	9338	387	136963.26	SILVER
9/10/2022	CUS15070754424	10660	387	38448.64	SILVER
